,년,정점,번호,등급
202,2007,온산연안,2,1
203,2007,온산연안,3,1
204,2007,부산연안,1,1
205,2007,부산연안,2,1
206,2007,부산연안,3,2
207,2007,부산연안,4,1
208,2007,부산연안,5,1
209,2007,부산연안,6,1
210,2007,낙동강하구,1,2
211,2007,낙동강하구,2,1
212,2007,낙동강하구,3,1
213,2007,낙동강하구,4,1
214,2007,신항연안,1,3
215,2007,신항연안,2,1
216,2007,행 암 만,1,2
217,2007,행 암 만,2,2
218,2007,마 산 만,1,3
219,2007,마 산 만,2,3
220,2007,마 산 만,3,3
221,2007,진 해 만,1,1
222,2007,진 해 만,2,2
223,2007,광 양 만,1,2
224,2007,광 양 만,2,3
225,2007,광 양 만,3,3
226,2007,광 양 만,4,2
227,2007,광 양 만,5,2
228,2007,광 양 만,6,3
229,2007,광 양 만,7,3
230,2007,광 양 만,8,2
231,2007,광 양 만,9,3
232,2008,울산연안,1,1
233,2008,울산연안,2,1
234,2008,울산연안,3,1
235,2008,울산연안,4,3
236,2008,울산연안,5,2
237,2008,온산연안,1,1
238,2008,온산연안,2,1
239,2008,온산연안,3,1
240,2008,부산연안,1,1
241,2008,부산연안,2,1
242,2008,부산연안,3,2
243,2008,부산연안,4,1
244,2008,부산연안,5,1
245,2008,부산연안,6,1
246,2008,낙동강하구,1,1
247,2008,낙동강하구,2,1
248,2008,낙동강하구,3,1
249,2008,낙동강하구,4,1
250,2008,신항연안,1,2
251,2008,신항연안,2,2
252,2008,행 암 만,1,2
253,2008,행 암 만,2,3
254,2008,마 산 만,1,4
255,2008,마 산 만,2,4
256,2008,마 산 만,3,4
257,2008,진 해 만,1,1
258,2008,진 해 만,2,2
259,2008,광 양 만,1,3
260,2008,광 양 만,2,4
261,2008,광 양 만,3,3
262,2008,광 양 만,4,2
263,2008,광 양 만,5,3
264,2008,광 양 만,6,5
265,2008,광 양 만,7,5
266,2008,광 양 만,8,5
267,2008,광 양 만,9,5
268,2009,울산연안,1,2
269,2009,울산연안,2,1
270,2009,울산연안,3,1
271,2009,울산연안,4,3
272,2009,울산연안,5,1
273,2009,온산연안,1,2
274,2009,온산연안,2,1
275,2009,온산연안,3,1
276,2009,부산연안,1,1
277,2009,부산연안,2,2
278,2009,부산연안,3,2
279,2009,부산연안,4,1
280,2009,부산연안,5,2
281,2009,부산연안,6,2
282,2009,낙동강하구,1,2
283,2009,낙동강하구,2,3
284,2009,낙동강하구,3,1
285,2009,낙동강하구,4,2
286,2009,신항연안,1,3
287,2009,신항연안,2,3
288,2009,행 암 만,1,2
289,2009,행 암 만,2,3
290,2009,마 산 만,1,3
291,2009,마 산 만,2,3
292,2009,마 산 만,3,3
293,2009,진 해 만,1,2
294,2009,진 해 만,2,2
295,2009,광 양 만,1,2
296,2009,광 양 만,2,2
297,2009,광 양 만,3,1
298,2009,광 양 만,4,1
299,2009,광 양 만,5,1
300,2009,광 양 만,6,1
301,2009,광 양 만,7,1
302,2009,광 양 만,8,2
303,2009,광 양 만,9,1
304,2010,울산연안,1,3
305,2010,울산연안,2,2
306,2010,울산연안,3,4
307,2010,울산연안,4,4
308,2010,울산연안,5,3
309,2010,온산연안,1,3
310,2010,온산연안,2,2
311,2010,온산연안,3,2
312,2010,부산연안,1,1
313,2010,부산연안,2,2
314,2010,부산연안,3,2
315,2010,부산연안,4,1
316,2010,부산연안,5,2
317,2010,부산연안,6,1
318,2010,낙동강하구,1,2
319,2010,낙동강하구,2,2
320,2010,낙동강하구,3,4
321,2010,낙동강하구,4,2
322,2010,신항연안,1,2
323,2010,신항연안,2,2
324,2010,행 암 만,1,3
325,2010,행 암 만,2,3
326,2010,마 산 만,1,3
327,2010,마 산 만,2,3
328,2010,마 산 만,3,5
329,2010,진 해 만,1,3
330,2010,진 해 만,2,2
331,2010,광 양 만,1,2
332,2010,광 양 만,2,2
333,2010,광 양 만,3,2
334,2010,광 양 만,4,1
335,2010,광 양 만,5,1
336,2010,광 양 만,6,1
337,2010,광 양 만,7,2
338,2010,광 양 만,8,1
339,2010,광 양 만,9,2
340,2011,울산연안,1,2
341,2011,울산연안,2,1
342,2011,울산연안,3,1
343,2011,울산연안,4,4
344,2011,울산연안,5,2
345,2011,온산연안,1,1
346,2011,온산연안,2,1
347,2011,온산연안,3,2
348,2011,부산연안,1,1
349,2011,부산연안,2,2
350,2011,부산연안,3,1
351,2011,부산연안,4,1
352,2011,부산연안,5,1
353,2011,부산연안,6,1
354,2011,낙동강하구,1,1
355,2011,낙동강하구,2,2
356,2011,낙동강하구,3,1
357,2011,낙동강하구,4,2
358,2011,신항연안,1,2
359,2011,신항연안,2,3
360,2011,행 암 만,1,3
361,2011,행 암 만,2,3
362,2011,마 산 만,1,3
363,2011,마 산 만,2,4
364,2011,마 산 만,3,4
365,2011,진 해 만,1,2
366,2011,진 해 만,2,3
367,2011,광 양 만,1,3
368,2011,광 양 만,2,3
369,2011,광 양 만,3,2
370,2011,광 양 만,4,2
371,2011,광 양 만,5,3
372,2011,광 양 만,6,3
373,2011,광 양 만,7,3
374,2011,광 양 만,8,3
375,2011,광 양 만,9,2
376,2012,울산연안,1,2
377,2012,울산연안,2,2
378,2012,울산연안,3,1
379,2012,울산연안,4,3
380,2012,울산연안,5,2
381,2012,온산연안,1,1
382,2012,온산연안,2,1
383,2012,온산연안,3,2
384,2012,부산연안,1,1
385,2012,부산연안,2,2
386,2012,부산연안,3,2
387,2012,부산연안,4,1
388,2012,부산연안,5,1
389,2012,부산연안,6,1
390,2012,낙동강하구,1,1
391,2012,낙동강하구,2,1
392,2012,낙동강하구,3,1
393,2012,낙동강하구,4,1
394,2012,신항연안,1,2
395,2012,신항연안,2,2
396,2012,행 암 만,1,2
397,2012,행 암 만,2,2
398,2012,마 산 만,1,3
399,2012,마 산 만,2,3
400,2012,마 산 만,3,4
401,2012,진 해 만,1,1
402,2012,진 해 만,2,1
403,2012,광 양 만,1,3
404,2012,광 양 만,2,2
405,2012,광 양 만,3,3
406,2012,광 양 만,4,1
407,2012,광 양 만,5,1
408,2012,광 양 만,6,2
409,2012,광 양 만,7,2
410,2012,광 양 만,8,1
411,2012,광 양 만,9,2
412,2013,울산연안,1,3
413,2013,울산연안,2,2
414,2013,울산연안,3,3
415,2013,울산연안,4,3
416,2013,울산연안,5,2
417,2013,울산연안,6,4
418,2013,울산연안,7,4
419,2013,울산연안,8,3
420,2013,울산연안,9,2
421,2013,울산연안,10,1
422,2013,울산연안,11,2
423,2013,울산연안,12,1
424,2013,온산연안,1,1
425,2013,온산연안,2,1
426,2013,온산연안,3,2
427,2013,온산연안,4,5
428,2013,온산연안,5,5
429,2013,온산연안,6,5
430,2013,온산연안,7,5
431,2013,온산연안,8,5
432,2013,온산연안,9,5
433,2013,부산연안,1,1
434,2013,부산연안,2,2
435,2013,부산연안,3,1
436,2013,부산연안,4,1
437,2013,부산연안,5,1
438,2013,부산연안,6,2
439,2013,부산연안,7,2
440,2013,부산연안,8,3
441,2013,부산연안,9,1
442,2013,부산연안,10,1
443,2013,부산연안,11,1
444,2013,부산연안,12,1
445,2013,부산연안,13,1
446,2013,부산연안,14,3
447,2013,부산연안,15,1
448,2013,부산연안,16,1
449,2013,부산연안,17,1
450,2013,낙동강하구,1,2
451,2013,낙동강하구,2,3
452,2013,낙동강하구,3,3
453,2013,낙동강하구,4,2
454,2013,신항연안,1,3
455,2013,신항연안,2,2
456,2013,행 암 만,1,2
457,2013,행 암 만,2,2
458,2013,행 암 만,3,5
459,2013,행 암 만,4,5
460,2013,마 산 만,1,3
461,2013,마 산 만,2,3
462,2013,마 산 만,3,4
463,2013,마 산 만,4,4
464,2013,마 산 만,5,4
465,2013,마 산 만,6,4
466,2013,마 산 만,7,1
467,2013,마 산 만,8,3
468,2013,마 산 만,9,5
469,2013,마 산 만,10,5
470,2013,마 산 만,11,5
471,2013,마 산 만,12,5
472,2013,마 산 만,13,5
473,2013,마 산 만,14,5
474,2013,마 산 만,15,5
475,2013,진 해 만,1,3
476,2013,진 해 만,2,1
477,2013,광 양 만,1,3
478,2013,광 양 만,2,3
479,2013,광 양 만,3,2
480,2013,광 양 만,4,1
481,2013,광 양 만,5,1
482,2013,광 양 만,6,2
483,2013,광 양 만,7,2
484,2013,광 양 만,8,3
485,2013,광 양 만,9,3
486,2013,광 양 만,10,3
487,2013,광 양 만,11,4
488,2013,광 양 만,12,2
489,2014,울산연안,1,2
490,2014,울산연안,2,2
491,2014,울산연안,3,2
492,2014,울산연안,4,4
493,2014,울산연안,5,3
494,2014,울산연안,6,3
495,2014,울산연안,7,2
496,2014,울산연안,8,4
497,2014,울산연안,9,1
498,2014,울산연안,10,1
499,2014,울산연안,11,3
500,2014,울산연안,12,1
501,2014,온산연안,1,2
502,2014,온산연안,2,1
503,2014,온산연안,3,3
504,2014,온산연안,4,2
505,2014,온산연안,5,2
506,2014,온산연안,6,2
507,2014,온산연안,7,1
508,2014,온산연안,8,2
509,2014,온산연안,9,1
510,2014,부산연안,1,1
511,2014,부산연안,2,2
512,2014,부산연안,3,2
513,2014,부산연안,4,1
514,2014,부산연안,5,2
515,2014,부산연안,6,2
516,2014,부산연안,7,3
517,2014,부산연안,8,1
518,2014,부산연안,9,1
519,2014,부산연안,10,1
520,2014,부산연안,11,1
521,2014,부산연안,12,1
522,2014,부산연안,13,1
523,2014,부산연안,14,3
524,2014,부산연안,15,2
525,2014,부산연안,16,1
526,2014,부산연안,17,1
527,2014,낙동강하구,1,3
528,2014,낙동강하구,2,2
529,2014,낙동강하구,3,3
530,2014,낙동강하구,4,2
531,2014,신항연안,1,2
532,2014,신항연안,2,2
533,2014,행 암 만,1,2
534,2014,행 암 만,2,3
535,2014,행 암 만,3,3
536,2014,행 암 만,4,3
537,2014,마 산 만,1,4
538,2014,마 산 만,2,4
539,2014,마 산 만,3,4
540,2014,마 산 만,4,5
541,2014,마 산 만,5,4
542,2014,마 산 만,6,2
543,2014,마 산 만,7,2
544,2014,마 산 만,8,3
545,2014,마 산 만,9,5
546,2014,마 산 만,10,5
547,2014,마 산 만,11,4
548,2014,마 산 만,12,4
549,2014,마 산 만,13,4
550,2014,마 산 만,14,3
551,2014,마 산 만,15,4
552,2014,진 해 만,1,1
553,2014,진 해 만,2,3
554,2014,광 양 만,1,2
555,2014,광 양 만,2,2
556,2014,광 양 만,3,2
557,2014,광 양 만,4,1
558,2014,광 양 만,5,2
559,2014,광 양 만,6,3
560,2014,광 양 만,7,3
561,2014,광 양 만,8,3
562,2014,광 양 만,9,2
563,2014,광 양 만,10,2
564,2014,광 양 만,11,2
565,2014,광 양 만,12,2
566,2015,울산연안,1,2
567,2015,울산연안,2,3
